start_time,axis1,axis2,axis3,steps,lux
2012-04-17 15:01:00,2152,1616,2618,12,2152
2012-04-17 15:02:00,2512,4056,3351,17,2512
2012-04-17 15:03:00,3633,4570,4722,21,3633
2012-04-17 15:04:00,526,2327,1722,9,526
2012-04-17 15:05:00,2,101,216,0,2
2012-04-17 15:06:00,360,593,447,2,360
2012-04-17 15:07:00,845,1162,512,5,845
2012-04-17 15:08:00,635,433,731,5,635
2012-04-17 15:09:00,0,0,0,0,0
2012-04-17 15:10:00,743,1200,849,5,743
2012-04-17 15:11:00,1293,3005,1660,13,1293
2012-04-17 15:12:00,609,511,805,6,609
2012-04-17 15:13:00,54,24,273,2,54
2012-04-17 15:14:00,397,202,332,5,397
2012-04-17 15:15:00,748,1395,2571,8,748
2012-04-17 15:16:00,2038,2816,2967,14,2038
2012-04-17 15:17:00,935,1735,2024,11,935
2012-04-17 15:18:00,0,0,3,0,0
2012-04-17 15:19:00,0,0,31,0,0
2012-04-17 15:20:00,147,251,496,3,147
2012-04-17 15:21:00,31,72,274,1,31
2012-04-17 15:22:00,7,0,113,0,7
2012-04-17 15:23:00,0,8,102,0,0
2012-04-17 15:24:00,101,316,798,3,101
2012-04-17 15:25:00,0,169,474,0,0
2012-04-17 15:26:00,1650,1848,1486,11,1650
2012-04-17 15:27:00,724,1048,1710,8,724
2012-04-17 15:28:00,431,396,1186,4,431
2012-04-17 15:29:00,778,1283,1107,5,778
2012-04-17 15:30:00,186,454,453,3,186
2012-04-17 15:31:00,648,258,629,3,648
2012-04-17 15:32:00,251,260,1110,2,251
2012-04-17 15:33:00,33,90,443,1,33
2012-04-17 15:34:00,2431,2591,3128,20,2431
2012-04-17 15:35:00,1009,936,1225,11,1009
2012-04-17 15:36:00,435,426,1036,4,435
2012-04-17 15:37:00,347,391,673,5,347
2012-04-17 15:38:00,83,296,710,2,83
2012-04-17 15:39:00,709,770,1455,7,709
2012-04-17 15:40:00,0,0,0,0,0
2012-04-17 15:41:00,3080,3371,3718,29,3080
2012-04-17 15:42:00,3142,2610,3411,25,3142
2012-04-17 15:43:00,28,0,282,2,28
2012-04-17 15:44:00,320,224,755,2,320
2012-04-17 15:45:00,508,213,445,5,508
2012-04-17 15:46:00,457,399,1330,5,457
2012-04-17 15:47:00,39,43,144,1,39
2012-04-17 15:48:00,17,49,68,1,17
2012-04-17 15:49:00,7,29,23,0,7
2012-04-17 15:50:00,84,146,254,2,84
2012-04-17 15:51:00,68,231,269,1,68
2012-04-17 15:52:00,78,91,549,1,78
2012-04-17 15:53:00,1150,897,1202,7,1150
2012-04-17 15:54:00,5726,4573,4792,31,5726
2012-04-17 15:55:00,4457,4251,5968,28,4457
2012-04-17 15:56:00,7058,5768,5736,30,7058
2012-04-17 15:57:00,1443,1345,1709,6,1443
2012-04-17 15:58:00,5625,4189,5073,35,5625
2012-04-17 15:59:00,1714,1710,1778,18,1714
2012-04-17 16:00:00,2825,1833,2029,11,2825
2012-04-17 16:01:00,4120,3520,3428,26,4120
2012-04-17 16:02:00,3163,3385,3359,31,3163
2012-04-17 16:03:00,2811,3015,3044,24,2811
2012-04-17 16:04:00,982,1224,988,14,982
2012-04-17 16:05:00,338,126,139,12,338
2012-04-17 16:06:00,316,321,1123,10,316
2012-04-17 16:07:00,0,181,535,0,0
2012-04-17 16:08:00,611,572,538,5,611
2012-04-17 16:09:00,211,79,1034,4,211
2012-04-17 16:10:00,451,1409,1238,8,451
2012-04-17 16:11:00,66,114,41,0,66
2012-04-17 16:12:00,38,53,40,2,38
2012-04-17 16:13:00,48,475,330,0,48
2012-04-17 16:14:00,281,784,1206,5,281
2012-04-17 16:15:00,1990,2137,1384,7,1990
2012-04-17 16:16:00,2971,3343,2358,12,2971
2012-04-17 16:17:00,1525,957,1468,9,1525
2012-04-17 16:18:00,176,60,539,2,176
2012-04-17 16:19:00,612,464,681,7,612
2012-04-17 16:20:00,849,1099,331,7,849
2012-04-17 16:21:00,56,114,99,1,56
2012-04-17 16:22:00,787,682,972,8,787
2012-04-17 16:23:00,4839,4517,5120,39,4839
2012-04-17 16:24:00,3596,2586,2635,21,3596
2012-04-17 16:25:00,4164,4108,4267,41,4164
2012-04-17 16:26:00,2722,2479,2216,29,2722
2012-04-17 16:27:00,2340,2089,2157,28,2340
2012-04-17 16:28:00,2573,2861,2491,25,2573
2012-04-17 16:29:00,8291,6296,5298,47,8291
2012-04-17 16:30:00,6301,4469,4995,44,6301
