start_time,axis1,axis2,axis3,steps
2015-02-08 16:21:00,765,554,336,5
2015-02-08 16:22:00,701,345,609,3
2015-02-08 16:23:00,210,572,376,2
2015-02-08 16:24:00,1147,2422,2069,10
2015-02-08 16:25:00,1699,3890,3330,6
2015-02-08 16:26:00,176,234,183,1
2015-02-08 16:27:00,0,18,65,0
2015-02-08 16:28:00,517,830,1249,3
2015-02-08 16:29:00,554,387,1031,4
2015-02-08 16:30:00,279,202,483,0
2015-02-08 16:31:00,0,0,0,0
2015-02-08 16:32:00,0,0,0,0
2015-02-08 16:33:00,2675,1936,2111,12
2015-02-08 16:34:00,3721,2761,2821,18
2015-02-08 16:35:00,25,252,292,1
2015-02-08 16:36:00,2775,2222,1605,12
2015-02-08 16:37:00,1990,1083,1696,34
2015-02-08 16:38:00,2346,2258,3805,22
2015-02-08 16:39:00,396,258,674,2
2015-02-08 16:40:00,440,219,312,1
2015-02-08 16:41:00,170,193,506,3
2015-02-08 16:42:00,855,877,678,4
2015-02-08 16:43:00,526,431,521,2
2015-02-08 16:44:00,911,585,626,4
2015-02-08 16:45:00,1680,1070,1078,7
2015-02-08 16:46:00,0,16,95,0
2015-02-08 16:47:00,913,1224,1742,6
2015-02-08 16:48:00,12,50,127,0
2015-02-08 16:49:00,0,0,0,0
2015-02-08 16:50:00,713,1248,1018,4
2015-02-08 16:51:00,961,1226,1006,8
2015-02-08 16:52:00,815,1113,792,4
2015-02-08 16:53:00,1119,846,583,4
2015-02-08 16:54:00,554,626,775,3
2015-02-08 16:55:00,613,756,636,6
2015-02-08 16:56:00,1142,1094,1599,12
2015-02-08 16:57:00,230,685,2795,9
2015-02-08 16:58:00,252,241,1072,1
2015-02-08 16:59:00,102,289,1515,2
2015-02-08 17:00:00,16,149,1145,0
2015-02-08 17:01:00,245,411,2757,3
2015-02-08 17:02:00,73,54,1108,1
2015-02-08 17:03:00,30,84,979,1
2015-02-08 17:04:00,39,44,995,1
2015-02-08 17:05:00,104,31,1491,2
2015-02-08 17:06:00,74,87,1375,1
2015-02-08 17:07:00,498,406,1515,2
2015-02-08 17:08:00,0,2,1166,0
2015-02-08 17:09:00,252,139,1261,2
2015-02-08 17:10:00,252,121,890,4
2015-02-08 17:11:00,21,241,1359,0
2015-02-08 17:12:00,772,1542,1176,6
2015-02-08 17:13:00,454,993,1057,4
2015-02-08 17:14:00,2765,2115,2608,18
2015-02-08 17:15:00,2595,1878,2339,23
2015-02-08 17:16:00,3326,1761,1708,34
2015-02-08 17:17:00,2696,1628,2473,35
2015-02-08 17:18:00,2148,1893,1544,14
2015-02-08 17:19:00,496,320,300,4
2015-02-08 17:20:00,0,140,4,0
2015-02-08 17:21:00,1320,693,994,4
2015-02-08 17:22:00,109,139,480,1
2015-02-08 17:23:00,253,158,133,0
2015-02-08 17:24:00,898,885,1503,7
2015-02-08 17:25:00,3437,1843,1701,9
2015-02-08 17:26:00,305,338,856,2
2015-02-08 17:27:00,1780,1540,1722,32
2015-02-08 17:28:00,1061,1289,1240,11
2015-02-08 17:29:00,242,351,349,8
2015-02-08 17:30:00,38,37,97,1
2015-02-08 17:31:00,26,32,120,2
2015-02-08 17:32:00,548,786,985,9
2015-02-08 17:33:00,4049,2237,3612,29
2015-02-08 17:34:00,6361,3830,3845,27
2015-02-08 17:35:00,6918,6394,7254,60
2015-02-08 17:36:00,9151,6901,4540,41
2015-02-08 17:37:00,980,888,1173,7
2015-02-08 17:38:00,1221,827,680,9
2015-02-08 17:39:00,1596,781,501,5
2015-02-08 17:40:00,1322,953,684,6
2015-02-08 17:41:00,1053,439,293,4
2015-02-08 17:42:00,2574,1767,2196,37
2015-02-08 17:43:00,2779,1615,1926,17
2015-02-08 17:44:00,1778,1047,1116,11
2015-02-08 17:45:00,3662,3160,4590,22
2015-02-08 17:46:00,4021,4057,3848,55
2015-02-08 17:47:00,3271,3364,3156,59
2015-02-08 17:48:00,6800,3776,3515,37
2015-02-08 17:49:00,4556,2792,3103,20
2015-02-08 17:50:00,2363,2103,4251,19
2015-02-08 17:51:00,2471,2943,2631,21
2015-02-08 17:52:00,2659,1513,2126,35
2015-02-08 17:53:00,4681,2616,2502,21
2015-02-08 17:54:00,4322,1758,1697,12
2015-02-08 17:55:00,2941,1505,1826,18
2015-02-08 17:56:00,2177,1680,2844,12
2015-02-08 17:57:00,1890,3099,2380,13
2015-02-08 17:58:00,86,118,424,1
2015-02-08 17:59:00,543,356,344,3
2015-02-08 18:00:00,343,614,464,4
2015-02-08 18:01:00,4863,3519,4552,27
2015-02-08 18:02:00,3445,3010,3363,18
2015-02-08 18:03:00,2587,3174,4024,20
2015-02-08 18:04:00,4060,4159,4573,31
